global_south_country,region,global_south,gadm_name,geofabrik_name,geofabrik_region,geofabrik_NA
Guam,Asia & Pacific,Global South,GUM,guam,asia,1
Guatemala,South/Latin America,Global South,GTM,guatemala,central-america,
Guinea,Africa,Global South,GIN,guinea,africa,
Guinea-Bissau,Africa,Global South,GNB,guinea-bissau,africa,
Guyana,South/Latin America,Global South,GUY,guyana,south-america,1
Haiti,South/Latin America,Global South,HTI,haiti-and-domrep,central-america,
Heard Island and McDonald Islands,Asia & Pacific,Global South,HMD,heard-island-and-mcdonald-islands,asia,1
Honduras,South/Latin America,Global South,HND,honduras,south-america,1
India,Asia & Pacific,Global South,IND,india,asia,
Indonesia,Asia & Pacific,Global South,IDN,indonesia,asia,
"Iran, Islamic Republic of",Asia & Pacific,Global South,IRN,iran,asia,
Iraq,Arab States,Global South,IRQ,iraq,asia,
Jamaica,South/Latin America,Global South,JAM,jamaica,central-america,
Jordan,Arab States,Global South,JOR,jordan,asia,
Kazakhstan,Asia & Pacific,Global South,KAZ,kazakhstan,asia,
Kenya,Africa,Global South,KEN,kenya,africa,
Kiribati,Asia & Pacific,Global South,KIR,kiribati,asia,1
"Korea, Democratic People's Republic of",Asia & Pacific,Global South,PRK,south-korea,asia,
Kuwait,Arab States,Global South,KWT,gcc-states,asia,
Kyrgyzstan,Asia & Pacific,Global South,KGZ,kyrgyzstan,asia,
Lao People's Democratic Republic,Asia & Pacific,Global South,LAO,laos,asia,
Lebanon,Arab States,Global South,LBN,lebanon,asia,
Lesotho,Africa,Global South,LSO,lesotho,africa,
Liberia,Africa,Global South,LBR,liberia,africa,
Libya,Arab States,Global South,LBY,libya,africa,
Madagascar,Africa,Global South,MDG,madagascar,africa,
Malawi,Africa,Global South,MWI,malawi,africa,
Malaysia,Asia & Pacific,Global South,MYS,malaysia-singapore-brunei,asia,
Maldives,Asia & Pacific,Global South,MDV,maldives,asia,
Mali,Africa,Global South,MLI,mali,africa,
Marshall Islands,Asia & Pacific,Global South,MHL,marshall-islands,asia,1
Martinique,South/Latin America,Global South,MTQ,martinique,south-america,1
Mauritania,Arab States,Global South,MRT,mauritania,africa,
Mauritius,Africa,Global South,MUS,mauritius,africa,
Mayotte,Africa,Global South,MYT,mayotte,africa,1
Mexico,South/Latin America,Global South,MEX,mexico,north-america,
"Micronesia, Federated States of",Asia & Pacific,Global South,FSM,micronesia-federated-states-of,asia,1
Mongolia,Asia & Pacific,Global South,MNG,mongolia,asia,
Montserrat,South/Latin America,Global South,MSR,montserrat,south-america,1
Morocco,Arab States,Global South,MAR,morocco,africa,
Mozambique,Africa,Global South,MOZ,mozambique,africa,
Myanmar,Asia & Pacific,Global South,MMR,myanmar,asia,
Namibia,Africa,Global South,NAM,namibia,africa,
Nauru,Asia & Pacific,Global South,NRU,nauru,asia,1
Nepal,Asia & Pacific,Global South,NPL,nepal,asia,
Netherlands Antilles,South/Latin America,Global South,,netherlands-antilles,south-america,1
New Caledonia,Asia & Pacific,Global South,NCL,new-caledonia,australia-oceania,
Nicaragua,South/Latin America,Global South,NIC,nicaragua,central-america,
Niger,Africa,Global South,NER,niger,africa,
Nigeria,Africa,Global South,NGA,nigeria,africa,
Niue,Asia & Pacific,Global South,NIU,niue,asia,1
Norfolk Island,Asia & Pacific,Global South,NFK,norfolk-island,asia,1
Northern Mariana Islands,Asia & Pacific,Global South,MNP,northern-mariana-islands,asia,1
Oman,Arab States,Global South,OMN,gcc-states,asia,
Pakistan,Asia & Pacific,Global South,PAK,pakistan,asia,
Palau,Asia & Pacific,Global South,PLW,palau,asia,1
Palestinian Territory,Arab States,Global South,PSE,israel-and-palestine,asia,
Panama,South/Latin America,Global South,PAN,panama,south-america,1
Papua New Guinea,Asia & Pacific,Global South,PNG,papua-new-guinea,australia-oceania,
Paraguay,South/Latin America,Global South,PRY,paraguay,south-america,
Peru,South/Latin America,Global South,PER,peru,south-america,
Philippines,Asia & Pacific,Global South,PHL,philippines,asia,
Pitcairn Islands,Asia & Pacific,Global South,PCN,pitcairn-islands,asia,1
Puerto Rico,South/Latin America,Global South,PRI,puerto-rico,North-america/us,
Qatar,Arab States,Global South,QAT,gcc-states,asia,
Reunion,Asia & Pacific,Global South,REU,reunion,asia,1
Rwanda,Africa,Global South,RWA,rwanda,africa,
Saint Barthelemy,South/Latin America,Global South,BLM,saint-barthelemy,south-america,1
Saint Helena,Africa,Global South,SHN,saint-helena-ascension-and-tristan-da-cunha,africa,
Saint Kitts and Nevis,South/Latin America,Global South,KNA,saint-kitts-and-nevis,south-america,1
Saint Lucia,South/Latin America,Global South,LCA,saint-lucia,south-america,1
Saint Martin,South/Latin America,Global South,MAF,saint-martin,south-america,1
Saint Vincent and the Grenadines,South/Latin America,Global South,VCT,saint-vincent-and-the-grenadines,south-america,1
Samoa,Asia & Pacific,Global South,WSM,samoa,asia,1
Sao Tome and Principe,Africa,Global South,STP,sao-tome-and-principe,africa,
Saudi Arabia,Arab States,Global South,SAU,gcc-states,asia,
Senegal,Africa,Global South,SEN,senegal-and-gambia,africa,
Seychelles,Africa,Global South,SYC,seychelles,africa,
Sierra Leone,Africa,Global South,SLE,sierra-leone,africa,
Solomon Islands,Asia & Pacific,Global South,SLB,solomon-islands,asia,1
Somalia,Arab States,Global South,SOM,somalia,africa,
South Africa,Africa,Global South,ZAF,south-africa,africa,
South Georgia and the South Sandwich Islands,South/Latin America,Global South,SGS,south-georgia-and-the-south-sandwich-islands,south-america,1
South Sudan,Africa,Global South,SSD,south-sudan,africa,
Sri Lanka,Asia & Pacific,Global South,LKA,sri-lanka,asia,
Sudan,Arab States,Global South,SDN,sudan,africa,
Suriname,South/Latin America,Global South,SUR,suriname,south-america,
Swaziland,Africa,Global South,SWZ,swaziland,africa,
Syrian Arab Republic,Asia & Pacific,Global South,SYR,syria,asia,
Tajikistan,Asia & Pacific,Global South,TJK,tajikistan,asia,
"Tanzania, United Republic of",Africa,Global South,TZA,tanzania,africa,
Thailand,Asia & Pacific,Global South,THA,thailand,asia,
Timor-Leste,Asia & Pacific,Global South,,timor-leste,asia,1
Togo,Africa,Global South,TGO,togo,africa,
Tokelau,Asia & Pacific,Global South,TKL,tokelau,asia,1
Tonga,Asia & Pacific,Global South,TON,tonga,asia,1
Trinidad and Tobago,South/Latin America,Global South,TTO,trinidad-and-tobago,south-america,1
Tunisia,Arab States,Global South,TUN,tunisia,africa,
Turkmenistan,Asia & Pacific,Global South,TKM,turkmenistan,asia,
Turks and Caicos Islands,South/Latin America,Global South,TCA,turks-and-caicos-islands,south-america,1
Tuvalu,Asia & Pacific,Global South,TUV,tuvalu,asia,1
Uganda,Africa,Global South,UGA,uganda,africa,
Ukraine,Europe,Global South,UKR,ukraine,europe,
United Arab Emirates,Arab States,Global South,ARE,gcc-states,asia,
United States Minor Outlying Islands,Asia & Pacific,Global South,UMI,united-states-minor-outlying-islands,asia,1
Uruguay,South/Latin America,Global South,URY,uruguay,south-america,
Uzbekistan,Asia & Pacific,Global South,UZB,uzbekistan,asia,
Vanuatu,Asia & Pacific,Global South,VUT,vanuatu,asia,1
Venezuela,South/Latin America,Global South,VEN,venezuela,south-america,
Vietnam,Asia & Pacific,Global South,VNM,vietnam,asia,
"Virgin Islands, British",South/Latin America,Global South,,virgin-islands-british,south-america,1
"Virgin Islands, U.S.",South/Latin America,Global South,VIR,virgin-islands-u.s.,south-america,1
Wallis and Futuna,Asia & Pacific,Global South,WLF,wallis-and-futuna,asia,1
Yemen,Arab States,Global South,YEM,yemen,asia,
Zambia,Africa,Global South,ZMB,zambia,africa,
Zimbabwe,Africa,Global South,ZWE,zimbabwe,africa,
